!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123     w  j  i  t
H           H                       H2                                               1.00E+00     0.00      0.0              0
H3O+        E-                      OH          H2                                   6.02E-08    -0.50      0.0              5
H2DO+       E-                      OD          H2                                   2.01E-08    -0.50      0.0              5       !  1  1  1  1
H2DO+       E-                      OH          HD                                   4.01E-08    -0.50      0.0              5       !  2  2  1  1
HD2O+       E-                      OD          HD                                   4.01E-08    -0.50      0.0              5       !  2  1  1  2
HD2O+       E-                      OH          D2                                   2.01E-08    -0.50      0.0              5       !  1  2  1  2
D3O+        E-                      OD          D2                                   6.02E-08    -0.50      0.0              5       !  1  1  1  3
H2O2                                OH          OH                                   1.30E-17     0.00    750.0              2
HDO2                                OD          OH                                   1.30E-17     0.00    750.0              2       !  2  1  1  1
D2O2                                OD          OD                                   1.30E-17     0.00    750.0              2       !  1  1  1  2
C           O2                      CO          O                                    4.70E-11    -0.34      0.0              5
H3O+        CH3OH                   CH3OH2+     H2O                                  2.50E-09    -0.50      0.0              5
H2DO+       CH3OH                   CH2DOH2+    H2O                                  1.07E-09    -0.50      0.0              5       !  3  1  1  1
H2DO+       CH3OH                   CH3OHD+     H2O                                  7.14E-10    -0.50      0.0              5       !  2  2  1  1
H2DO+       CH3OH                   CH3OH2+     HDO                                  7.14E-10    -0.50      0.0              5       !  2  3  1  1
H3O+        CH2DOH                  CH2DOH2+    H2O                                  1.07E-09    -0.50      0.0              5       !  3  1  2  1
H3O+        CH2DOH                  CH3OHD+     H2O                                  7.14E-10    -0.50      0.0              5       !  2  2  2  1
H3O+        CH2DOH                  CH3OH2+     HDO                                  7.14E-10    -0.50      0.0              5       !  2  3  2  1
H3O+        CH3OD                   CH2DOH2+    H2O                                  1.07E-09    -0.50      0.0              5       !  3  1  3  1
H3O+        CH3OD                   CH3OHD+     H2O                                  7.14E-10    -0.50      0.0              5       !  2  2  3  1
H3O+        CH3OD                   CH3OH2+     HDO                                  7.14E-10    -0.50      0.0              5       !  2  3  3  1
HD2O+       CH3OH                   CHD2OH2+    H2O                                  3.57E-10    -0.50      0.0              5       !  3  1  1  2
HD2O+       CH3OH                   CH2DOHD+    H2O                                  7.14E-10    -0.50      0.0              5       !  6  2  1  2
HD2O+       CH3OH                   CH3OD2+     H2O                                  1.19E-10    -0.50      0.0              5       !  1  3  1  2
HD2O+       CH3OH                   CH2DOH2+    HDO                                  7.14E-10    -0.50      0.0              5       !  6  4  1  2
HD2O+       CH3OH                   CH3OHD+     HDO                                  4.76E-10    -0.50      0.0              5       !  4  5  1  2
HD2O+       CH3OH                   CH3OH2+     D2O                                  1.19E-10    -0.50      0.0              5       !  1  6  1  2
H2DO+       CH2DOH                  CHD2OH2+    H2O                                  3.57E-10    -0.50      0.0              5       !  3  1  2  2
H2DO+       CH2DOH                  CH2DOHD+    H2O                                  7.14E-10    -0.50      0.0              5       !  6  2  2  2
H2DO+       CH2DOH                  CH3OD2+     H2O                                  1.19E-10    -0.50      0.0              5       !  1  3  2  2
H2DO+       CH2DOH                  CH2DOH2+    HDO                                  7.14E-10    -0.50      0.0              5       !  6  4  2  2
H2DO+       CH2DOH                  CH3OHD+     HDO                                  4.76E-10    -0.50      0.0              5       !  4  5  2  2
H2DO+       CH2DOH                  CH3OH2+     D2O                                  1.19E-10    -0.50      0.0              5       !  1  6  2  2
H3O+        CHD2OH                  CHD2OH2+    H2O                                  3.57E-10    -0.50      0.0              5       !  3  1  3  2
H3O+        CHD2OH                  CH2DOHD+    H2O                                  7.14E-10    -0.50      0.0              5       !  6  2  3  2
H3O+        CHD2OH                  CH3OD2+     H2O                                  1.19E-10    -0.50      0.0              5       !  1  3  3  2
H3O+        CHD2OH                  CH2DOH2+    HDO                                  7.14E-10    -0.50      0.0              5       !  6  4  3  2
H3O+        CHD2OH                  CH3OHD+     HDO                                  4.76E-10    -0.50      0.0              5       !  4  5  3  2
H3O+        CHD2OH                  CH3OH2+     D2O                                  1.19E-10    -0.50      0.0              5       !  1  6  3  2
H2DO+       CH3OD                   CHD2OH2+    H2O                                  3.57E-10    -0.50      0.0              5       !  3  1  4  2
H2DO+       CH3OD                   CH2DOHD+    H2O                                  7.14E-10    -0.50      0.0              5       !  6  2  4  2
H2DO+       CH3OD                   CH3OD2+     H2O                                  1.19E-10    -0.50      0.0              5       !  1  3  4  2
H2DO+       CH3OD                   CH2DOH2+    HDO                                  7.14E-10    -0.50      0.0              5       !  6  4  4  2
