C6H+        E-                      C6          H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
N           C5                      CN          C4                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
C5H+        E-                      C5          H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
He+         CO                      O           C+          He                      1.60E-09     0.00      0.0   10.41000.  5 A IN
CH5+        H2O                     H3O+        CH4                                 3.70E-09    -0.50      0.0   10.41000.  5 A IN
H+          H2O                     H2O+        H                                   6.90E-09    -0.50      0.0   10.  300.  5 A CE
H3O+        E-                      OH          H           H                       2.58E-07    -0.50      0.0   10. 1000.  5 A DR
CH          CH3OH                   CH3         H2CO                                2.49E-10    -1.93      0.0  298.  753.  5 A NN
H3O+        CH3OH                   CH3OH2+     H2O                                 2.50E-09    -0.50      0.0   10.41000.  5 A IN
H3+         CH3CHO                  CH3+        CH3OH                               1.45E-09    -0.50      0.0   10.41000.  5 A IN
He+         CH4                     CH2+        He          H2                      9.50E-10     0.00      0.0   10.41000.  5 A IN
H3+         CH4                     CH5+        H2                                  2.40E-09     0.00      0.0   10.41000.  5 A IN
C+          CH4                     C2H3+       H                                   1.10E-09     0.00      0.0   10.41000.  5 A IN
NH3         H3O+                    NH4+        H2O                                 2.20E-09    -0.50      0.0   10.41000.  5 A IN
He+         NH3                     NH2+        He          H                       1.76E-09    -0.50      0.0   10.41000.  5 A IN
H3O+        CH3CN                   CH3CNH+     H2O                                 4.70E-09    -0.50      0.0   10.41000.  5 A IN
H3O+        HCN                     HCNH+       H2O                                 3.80E-09    -0.50      0.0   10.41000.  5 A IN
N           HCO                     HCN         O                                   1.70E-10     0.00      0.0   10.  300.  5 C NN
H3O+        HNC                     HCNH+       H2O                                 4.00E-09    -0.50      0.0   10.41000.  5 C IN
HN2+        E-                      NH          N                                   6.40E-07    -0.51      0.0   10.  300.  5 A DR
H3O+        H2S                     H3S+        H2O                                 1.90E-09    -0.50      0.0   10.41000.  5 A IN
He+         H2S                     S+          He          H2                      3.61E-09    -0.50      0.0   10.41000.  5 A IN
C5H+        E-                      C4H         C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C           NO                      CO          N                                   9.00E-11     0.00      0.0  300.41000.  5 A NN
CH5+        E-                      CH3         H           H                       1.96E-07    -0.52      0.0   10.  300.  5 A DR
N           C4H2+                   HCNH+       C3                                  9.50E-12     0.00      0.0   10.41000.  5 B IN
He+         N2                      N+          N           He                      9.60E-10     0.00      0.0   10.41000.  5 A IN
He+         N2                      N2+         He                                  6.40E-10     0.00      0.0   10.41000.  5 A CE
CH5+        S                       HS+         CH4                                 1.30E-09     0.00      0.0   10.41000.  5 C IN
OH          S+                      SO+         H                                   6.10E-10    -0.50      0.0   10.41000.  5 C IN
Si          S+                      S           Si+                                 1.60E-09     0.00      0.0   10.41000.  5 C CE
H3+         Fe                      Fe+         H2          H                       4.90E-09     0.00      0.0   10.41000.  5 C IN
Fe+         E-                      Fe                                              3.70E-12    -0.65      0.0   10.  300.  5 C RR
H+          OH                      OH+         H                                   2.10E-09    -0.50      0.0   10.41000.  5 C CE
He+         CO2                     CO+         O           He                      8.70E-10     0.00      0.0   10.41000.  5 A IN
H3+         CO2                     HCO2+       H2                                  2.00E-09     0.00      0.0   10.41000.  5 A IN
C+          CO2                     CO+         CO                                  1.10E-09     0.00      0.0   10.41000.  5 A IN
CH3+        E-                      CH          H2                                  1.95E-07    -0.50      0.0   10.  300.  5 A DR
H2          N+                      NH+         H                                   1.00E-09     0.00     85.0   10.  300.  5 C IN
H3O+        HC3N                    HC3NH+      H2O                                 4.00E-09    -0.50      0.0   10.41000.  5 A IN
He+         HC3N                    C2N+        CH          He                      2.84E-09    -0.50      0.0   10.41000.  5 A IN
He+         HCN                     CN+         He          H                       1.46E-09    -0.50      0.0   10.41000.  5 A IN
H3O+        CS                      HCS+        H2O                                 1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         CS                      S           C+          He                      1.30E-09    -0.50      0.0   10.41000.  5 C IN
CH3+        Mg                      Mg+         CH3                                 3.50E-09     0.00      0.0   10.41000.  5 C CE
C+          Mg                      Mg+         C                                   1.10E-09     0.00      0.0   10.41000.  5 C CE
Mg          HCO+                    HCO         Mg+                                 2.90E-09     0.00      0.0   10.41000.  5 C CE
Mg+         E-                      Mg                                              2.80E-12    -0.86      0.0   10.  300.  5 C RR
C2H4+       E-                      C2H2        H           H                       3.70E-07    -0.76      0.0   10.  300.  5 C DR
H3O+        C3                      C3H+        H2O                                 2.00E-09     0.00      0.0   10.41000.  5 C IN
He+         C3                      C2          C+          He                      2.00E-09     0.00      0.0   10.41000.  5 C IN
C6H2+       E-                      C6          H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C6H2+       E-                      C6H         H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C7H+        E-                      C6H         C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C8H2+       E-                      C8H         H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
C9H+        E-                      C8H         C                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
He+         C7                      C5+         C2          He                      1.40E-09     0.00      0.0   10.41000.  5 C IN
He+         C7                      C6+         C           He                      1.40E-09     0.00      0.0   10.41000.  5 C IN
C           C6H                     C7          H                                   2.00E-10     0.00      0.0   10.  300.  5 C NN
He+         C5                      C3+         C2          He                      1.00E-09     0.00      0.0   10.41000.  5 C IN
He+         C5                      C4+         C           He                      1.00E-09     0.00      0.0   10.41000.  5 C IN
C           C4H                     C5          H                                   1.00E-10     0.00      0.0   10.  300.  5 C NN
H2          He+                     He          H2+                                 7.20E-15     0.00      0.0   10.  300.  5 C CE
He                                  He+         E-                                  6.50E-18     0.00      0.0   10.41000.  1 C CP
CH3OH2+     E-                      H2CO        H2          H                       8.90E-07    -0.59      0.0   10.  300.  5 A DR
CH3+        H2O                     CH3OH2+                                         2.00E-12     0.00      0.0   10.  300.  5 A RA
H3O+        CH3CHO                  CH3CHOH+    H2O                                 3.60E-09    -0.50      0.0   10.41000.  5 A IN
He+         CH3CHO                  HCO         CH3+        He                      3.00E-09    -0.50      0.0   10.41000.  5 C IN
CH3CHOH+    E-                      CH3CHO      H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C4H2+       E-                      C4H         H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
N                                   N+          E-                                  2.70E-17     0.00      0.0   10.41000.  1 C CP
SO+         E-                      S           O                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
O           HS+                     SO+         H                                   2.90E-10     0.00      0.0   10.41000.  5 C IN
H3O+        Si                      SiH+        H2O                                 1.80E-09     0.00      0.0   10.41000.  5 C IN
He+         Si                      Si+         He                                  3.30E-09     0.00      0.0   10.41000.  5 C CE
SiOH+       E-                      Si          OH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
OH          Si+                     SiO+        H                                   6.30E-10    -0.50      0.0   10.41000.  5 C IN
Mg          Si+                     Si          Mg+                                 2.90E-09     0.00      0.0   10.41000.  5 C CE
Na          Si+                     Si          Na+                                 2.70E-09     0.00      0.0   10.41000.  5 C CE
H2          CO+                     HCO+        H                                   7.50E-10     0.00      0.0   10.41000.  5 A IN
H2          CO+                     HOC+        H                                   7.50E-10     0.00      0.0   10.41000.  5 A IN
CH+         O                       CO+         H                                   3.50E-10     0.00      0.0   10.41000.  5 A IN
C+          OH                      CO+         H                                   7.70E-10    -0.50      0.0   10.41000.  5 C IN
O           HCO2+                   O2          HCO+                                1.00E-09     0.00      0.0   10.41000.  5 C IN
HCO2+       E-                      CO          O           H                       8.10E-07    -0.64      0.0   10.  300.  5 A DR
OH          HCO+                    HCO2+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
C2N+        E-                      C2          N                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
C2N+        E-                      CN          C                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
N           C2H2+                   C2N+        H2                                  7.50E-11     0.00      0.0   10.41000.  5 A IN
C           C8H                     C9          H                                   2.00E-10     0.00      0.0   10.  300.  5 C NN
H2          C3+                     C3H+        H                                   2.40E-10     0.00      0.0   10.41000.  5 A IN
C           C2H+                    C3+         H                                   1.10E-09     0.00      0.0   10.41000.  5 C IN
He+         C3H                     C3+         He          H                       2.00E-09    -0.50      0.0   10.41000.  5 C IN
CH3CHOH+    E-                      CO          CH4         H                       3.00E-07    -0.50      0.0   10.  300.  5 C DR
CH3CHOH+    E-                      H2CO        CH3                                 1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3O+        C2H2                    CH3CHOH+                                        4.50E-12    -1.60      0.0   10.  300.  5 C RA
O           SiH+                    SiO+        H                                   4.00E-10     0.00      0.0   10.41000.  5 C IN
SiOH+       E-                      SiO         H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H2          SiO+                    SiOH+       H                                   3.20E-10     0.00      0.0   10.41000.  5 A IN
H3O+        Na                      Na+         H2O         H                       3.10E-09     0.00      0.0   10.41000.  5 C IN
H-          Na+                     Na          H                                   2.30E-07    -0.50      0.0   10.  300.  5 C II
H2          HOC+                    HCO+        H2                                  3.80E-10     0.00      0.0   20.41000.  5 B CD
He+         C9                      C7+         C2          He                      1.50E-09     0.00      0.0   10.41000.  5 C IN
He+         C9                      C8+         C           He                      1.50E-09     0.00      0.0   10.41000.  5 C IN
N           C9                      CN          C8                                  1.00E-13     0.00      0.0   10.  300.  5 C NN
C9H+        E-                      C9          H                                   1.00E-06    -0.30      0.0   10.  300.  5 C DR
H3O+        SiO                     SiOH+       H2O                                 2.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          H2O                     HOC+        H                                   1.80E-09    -0.50      0.0   10.41000.  5 A IN
C+          H2O                     HCO+        H                                   9.00E-10    -0.50      0.0   10.41000.  5 A IN
C+          CH4                     C2H2+       H2                                  4.00E-10     0.00      0.0   10.41000.  5 A IN
C+          NH3                     H2NC+       H                                   1.75E-09    -0.50      0.0   10.41000.  5 A IN
C+          NH3                     NH3+        C                                   5.06E-10    -0.50      0.0   10.41000.  5 A CE
C+          CH3CN                   C2H3+       CN                                  5.60E-09    -0.50      0.0   10.41000.  5 A IN
C+          HCN                     CNC+        H                                   3.10E-09    -0.50      0.0   10.41000.  5 A IN
C+          HNC                     C2N+        H                                   3.10E-09    -0.50      0.0   10.41000.  5 C IN
C+          H2S                     HCS+        H                                   1.40E-09    -0.50      0.0   10.41000.  5 A IN
C+          H2S                     H2S+        C                                   6.00E-10    -0.50      0.0   10.41000.  5 A CE
HCO+        E-                      CO          H                                   2.40E-07    -0.69      0.0   10.  300.  5 A DR
O           CH5+                    H3O+        CH2                                 2.20E-10     0.00      0.0   10.41000.  5 A IN
CH3+        HCN                     CH3CNH+                                         9.00E-09    -0.50      0.0   10.  300.  5 C RA
CH4         S+                      H3CS+       H                                   3.80E-10     0.00      0.0   10.41000.  5 A IN
O           C2H                     CO          CH                                  1.70E-11     0.00      0.0  290. 2500.  5 A NN
H2CO        S+                      HS          HCO+                                3.35E-10    -0.50      0.0   10.41000.  5 A IN
C+          NO                      NO+         C                                   5.20E-10     0.00      0.0   10.41000.  5 A CE
N+          CO                      NO+         C                                   1.45E-10     0.00      0.0   10.41000.  5 A IN
