!Grain reactions+++++++++++++++++++++++++++++++++++++++++++++++++++++++
! 2012-03-26 Mon 16:56:53
!   First completed version.
!   Some of the parameters for the H2 + OH and the deuteration and abstraction
!   reactions of H2CO and CH3OH may not be correcte and need to be tuned.
! 2011-05-27 Fri 13:19:22 DFJ
!   This is the surface network.
!   It contains five sections:
!     1. Adsorption of gas phase species.
!     2. Desorption of surface species.
!     3. Reactions on the grain surface.
!     4. Chemical desorption reactions, which is practically a subset of section 3, except the products are gas phase species.
!     5. Dissociation of surface species by cosmic ray induced photons.
!   The first two usually are not considered as surface reactions.
! Reference list:
!   HHL92: Hasegawa et al. 1992
!   ICet08: Ioppolo et al. 2008, ApJ, 686, 1474
!   ICet10: Ioppolo et al. 2010, PCCP, 12, 12065
!   CIRL10: Cuppen et al. 2010, PCCP,12, 12077
!   HH93: Hasegawa and Herbst 1993 MNRAS, 261, 83
!   GMet08: Goumans et al. 2008, MNRAS, 384, 1158 [also contains some desorption barrier data for other species]
!   RH01: Ruffle and Herbst 2001, MNRAS, 324, 1054 [interesting discussions]
!   TH82: Tielens and Hagen 1982, A&A, 114, 245
!   FCet09: Fuchs et al. 2009, A&A, 505, 629
!   ABet04: Atkinson et al. 2004, Atmos. Chem. Phys., 4, 1461
!   AR77: Allen and Robinson 1977, ApJ, 212, 396
!   KT05: Keane and Tielens 2005, ***
!   SH04: Stantcheva and Herbst 2004, ApJ, 423, 241
!   MCet09: Mokrane et al. 2009, ApJ, 705, 195
!   Woon02; n=3, QCISD*, Clust, ZPE: *4.1858/8.314
!   GWH08: Garrod et al. 2008
!----------------------------------------------------------------------
!++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
! 1. Adsorption of gaseous species.
!    74 reactions in total.
!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123
gHDO2                               mHDO2                                            1.0                                    66
gHCOOH                              mHCOOH                                           1.0                                    66
gDCOOH                              mDCOOH                                           1.0                                    66
gHCOOD                              mHCOOD                                           1.0                                    66
gDCOOD                              mDCOOD                                           1.0                                    66
gCN                                 mCN                                              1.0                                    66
gHCN                                mHCN                                             1.0                                    66
gDCN                                mDCN                                             1.0                                    66
gHNC                                mHNC                                             1.0                                    66
gDNC                                mDNC                                             1.0                                    66
gHNO                                mHNO                                             1.0                                    66
gDNO                                mDNO                                             1.0                                    66
gS                                  mS                                               1.0                                    66
gHS                                 mHS                                              1.0                                    66
gDS                                 mDS                                              1.0                                    66
gH2S                                mH2S                                             1.0                                    66
gHDS                                mHDS                                             1.0                                    66
gD2S                                mD2S                                             1.0                                    66
!----------------------------------------------------------------------
!++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
!2012-03-26 Mon 14:42:00
! 3. Two-body reactions.
!    184 reactions.
!  Definition of the rate parameters:
!    A * exp(-2*a/hbar*sqrt(2*m*Ea))
!    A:   dblABC(1)
!    a:   dblABC(2),  in Angstrom
!    Ea:  dblABC(3),  in K
!    m:   dblDE(1),   in mProton
!  Empty entries take a value of zero.
!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678912345678912345678912345612345612312123
!R1         R2          R3          P1          P2          P3          P4          A        a        Ea       m_eff __    iT
!__________ ___________ ___________ ___________ ___________ ___________ ___________ ________ ________ ________ _____ _____ __ _ __
gH          gH                      gH2                                              1.0                                    63      !HHL92
gH          gD                      gHD                                              1.0                                    64      !HHL92
gD          gD                      gD2                                              1.0                                    63      !HHL92

gH          gO                      gOH                                              1.0                                    64      !ICet10
gD          gO                      gOD                                              1.0                                    64      !ICet10
!++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
