 161  CH          CO2                     HCO         CO                                       1.2483E-92   1.00E+00   2.94E-13       0.50    3000.00      10.00   5
 162  N           CH2                     HCN         H                                        5.7128E-25   1.00E+00   3.95E-11       0.17       0.00       1.00   5
 163  N           CH2                     HNC         H                                        5.7128E-25   1.00E+00   3.95E-11       0.17       0.00       1.00   5
 164  N           CH2                     NH          CH                                       0.0000E+00   1.00E+00   9.96E-13       0.00   20380.00     100.00   5
 165  N           NH                      N2          H                                        1.1413E-24   1.00E+00   4.98E-11       0.00       0.00       1.00   5
 166  N           CH3                     HCN         H           H                            7.6090E-27   1.00E+00   3.32E-13       0.00       0.00      25.30   5
 167  N           CH3                     HCN         H2                                       7.6928E-26   1.00E+00   1.30E-11       0.50       0.00       1.00   5
 168  N           CH3                     H2CN        H                                        5.5110E-25   1.00E+00   7.40E-11       0.26       8.40       1.00   5
 169  N           OH                      O           NH                                       1.4763-257   1.00E+00   1.88E-11       0.10   10700.00      30.00   5
 170  N           OH                      NO          H                                        2.7986E-24   1.00E+00   7.50E-11      -0.18       0.00       1.00   5
 171  N           OH                      NO          H                                        4.0147E-23   1.00E+00   4.06E-11       0.05     -78.00      10.30   5
 172  N           C2                      CN          C                                        1.1459E-24   1.00E+00   5.00E-11       0.00       0.00       1.00   5
 173  N           C2H                     C2N         H                                        3.8962E-25   1.00E+00   1.70E-11       0.00       0.00       1.00   5
 174  N           CN                      N2          C                                        6.8756E-24   1.00E+00   3.00E-10       0.00       0.00      29.80   5
 175  N           C2H3                    CH2CN       H                                        1.4209E-24   1.00E+00   6.20E-11       0.00       0.00       1.00   5
 176  N           C2H3                    C2H2        NH                                       2.7502E-25   1.00E+00   1.20E-11       0.00       0.00       1.00   5
 177  N           H2CN                    HCN         NH                                       1.0405E-28   1.00E+00   1.00E-10       0.00     200.00      20.00   5
 178  N           HCO                     HCN         O                                        3.8962E-24   1.00E+00   1.70E-10       0.00       0.00       1.00   5
 179  N           HCO                     CO          NH                                       6.5171E-48   1.00E+00   5.71E-12       0.50    1000.00       3.30   5
 180  N           HCO                     OCN         H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 181  N           C2H5                    H2CN        CH3                                      8.8236E-25   1.00E+00   3.85E-11       0.00       0.00       1.00   5
 182  N           C2H5                    C2H4        NH                                       1.6387E-24   1.00E+00   7.15E-11       0.00       0.00       1.00   5
 183  N           SiH                     SiN         H                                        4.8545E-24   1.00E+00   1.66E-10      -0.09       0.00       1.00   5
 184  N           NO                      N2          O                                        2.3423E-25   1.00E+00   3.75E-11       0.00      26.00      10.00   5
 185  N           SiH2                    HNSi        H                                        1.1570E-24   1.00E+00   8.00E-11       0.17       0.00       1.00   5
 186  N           HNO                     NO          NH                                       3.3556E-48   1.00E+00   2.94E-12       0.50    1000.00       3.30   5
 187  N           HNO                     N2O         H                                        2.2667E-59   1.00E+00   1.43E-12       0.50    1500.00       5.00   5
 188  N           SiH3                    HNSi        H2                                       2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 189  N           PH                      PN          H                                        1.1459E-24   1.00E+00   5.00E-11       0.00       0.00       1.00   5
 190  N           O2                      NO          O                                        4.4557E-95   1.00E+00   2.26E-12       0.86    3134.00      20.00   5
 191  N           O2H                     O2          NH                                       3.8962E-27   1.00E+00   1.70E-13       0.00       0.00       1.00   5
 192  N           HS                      NS          H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 193  N           HS                      S           NH                                       1.8827-222   1.00E+00   1.73E-11       0.50    9060.00      30.20   5
 194  N           C3                      CN          C2                                       2.2919E-27   1.00E+00   1.00E-13       0.00       0.00       1.00   5
 195  N           C3H                     C3N         H                                        3.8962E-25   1.00E+00   1.70E-11       0.00       0.00       1.00   5
 196  N           C2N                     CN          CN                                       2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 197  N           C3H2                    HC3N        H                                        2.2919E-27   1.00E+00   1.00E-13       0.00       0.00       1.00   5
 198  N           C3H3                    HC3N        H2                                       1.8335E-24   1.00E+00   8.00E-11       0.00       0.00       1.00   5
 199  N           SiC                     Si          CN                                       1.1459E-24   1.00E+00   5.00E-11       0.00       0.00       1.00   5
 200  N           SiC                     SiN         C                                        1.1459E-24   1.00E+00   5.00E-11       0.00       0.00       1.00   5
 201  N           C2O                     CN          CO                                       1.2605E-23   1.00E+00   5.50E-10       0.00       0.00       1.00   5
 202  N           CO2                     NO          CO                                       5.4095E-64   1.00E+00   3.20E-13       0.00    1710.00      29.10   5
 203  N           CS                      S           CN                                       1.4549E-50   1.00E+00   3.80E-11       0.50    1160.00       3.80   5
 204  N           PN                      P           N2                                       2.2919E-32   1.00E+00   1.00E-18       0.00       0.00       1.00   5
 205  N           HCS                     S           HCN                                      2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 206  N           NO2                     N2          O           O                            5.5234E-26   1.00E+00   2.41E-12       0.00       0.00      30.00   5
 207  N           NO2                     NO          NO                                       2.2919E-26   1.00E+00   1.00E-12       0.00       0.00       1.00   5
 208  N           NO2                     O2          N2                                       2.2919E-26   1.00E+00   1.00E-12       0.00       0.00       1.00   5
 209  N           NO2                     N2O         O                                        6.8756E-26   1.00E+00   3.00E-12       0.00       0.00      20.00   5
 210  N           NS                      S           N2                                       3.4911E-24   1.00E+00   3.00E-11      -0.60       0.00       1.00   5
 211  N           PO                      P           NO                                       5.8442E-26   1.00E+00   2.55E-12       0.00       0.00       1.00   5
 212  N           PO                      PN          O                                        3.4911E-24   1.00E+00   3.00E-11      -0.60       0.00       1.00   5
 213  N           C4                      C3          CN                                       2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 214  N           SO                      NS          O                                        1.6183-204   1.00E+00   4.68E-11       0.50    8254.00      27.50   5
 215  N           SO                      S           NO                                       5.2984E-42   1.00E+00   1.73E-11       0.50     750.00       2.50   5
 216  N           C4H                     C4N         H                                        3.8962E-25   1.00E+00   1.70E-11       0.00       0.00       1.00   5
 217  N           C3N                     CN          C2N                                      2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 218  N           NCCN                    N2          C2N                                      2.2919E-25   1.00E+00   1.00E-11       0.00       0.00      30.00   5
 219  N           C5                      CN          C4                                       2.2919E-27   1.00E+00   1.00E-13       0.00       0.00       1.00   5
 220  N           C5H                     C5N         H                                        3.8962E-25   1.00E+00   1.70E-11       0.00       0.00       1.00   5
 221  N           C4N                     CN          C3N                                      2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 222  N           C5H2                    HC5N        H                                        2.2919E-27   1.00E+00   1.00E-13       0.00       0.00       1.00   5
 223  N           S2                      NS          S                                        1.4167-112   1.00E+00   1.73E-11       0.50    4000.00      13.30   5
 224  N           C6                      CN          C5                                       2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 225  N           C6H                     CN          C5H                                      2.2919E-27   1.00E+00   1.00E-13       0.00       0.00       1.00   5
 226  N           C5N                     CN          C4N                                      2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 227  N           C7                      CN          C6                                       2.2919E-27   1.00E+00   1.00E-13       0.00       0.00       1.00   5
 228  N           C7H                     C7N         H                                        3.8962E-25   1.00E+00   1.70E-11       0.00       0.00       1.00   5
 229  N           C7H2                    HC7N        H                                        2.2919E-27   1.00E+00   1.00E-13       0.00       0.00       1.00   5
 230  N           C8                      CN          C7                                       2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 231  N           C8H                     CN          C7H                                      2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 232  N           C7N                     C2N         C5N                                      2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 233  N           C9                      CN          C8                                       2.2919E-27   1.00E+00   1.00E-13       0.00       0.00       1.00   5
 234  N           C9H                     C9N         H                                        3.8962E-25   1.00E+00   1.70E-11       0.00       0.00       1.00   5
 235  N           C9N                     C2N         C7N                                      2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 236  CH2         CH2                     CH3         CH                                       2.4470-132   1.00E+00   4.00E-10       0.00    5000.00      30.00   5
 237  CH2         CH2                     C2H2        H           H                            8.5030E-33   1.00E+00   1.80E-10       0.00     400.00      30.00   5
 238  CH2         CH2                     C2H2        H2                                       1.6200-153   1.00E+00   2.63E-09       0.00    6013.00     110.00   5
 239  CH2         CH2                     C2H3        H                                        7.6090E-25   1.00E+00   3.32E-11       0.00       0.00     160.00   5
 240  CH2         O                       OH          CH                                       5.8759-154   1.00E+00   4.98E-10       0.00    6000.00     190.00   5
 241  CH2         O                       CO          H           H                            3.0482E-24   1.00E+00   1.33E-10       0.00       0.00       1.00   5
 242  CH2         O                       CO          H2                                       1.8335E-24   1.00E+00   8.00E-11       0.00       0.00     190.00   5
 243  CH2         O                       HCO         H                                        1.1482E-24   1.00E+00   5.01E-11       0.00       0.00     120.00   5
 244  CH2         CH4                     CH3         CH3                                      3.5803-135   1.00E+00   7.13E-12       0.00    5050.00      29.60   5
 245  CH2         OH                      O           CH3                                      6.1141E-91   1.00E+00   1.44E-11       0.50    3000.00      10.00   5
 246  CH2         OH                      H2O         CH                                       6.1141E-91   1.00E+00   1.44E-11       0.50    3000.00      10.00   5
 247  CH2         OH                      H2CO        H                                        6.8756E-25   1.00E+00   3.00E-11       0.00       0.00       1.00   5
 248  CH2         CN                      HCN         CH                                       6.2756E-80   1.00E+00   5.30E-12       0.00    2500.00       8.30   5
 249  CH2         Si                      HCSi        H                                        2.2919E-24   1.00E+00   1.00E-10       0.00       0.00       1.00   5
 250  CH2         N2                      HCN         NH                                       0.0000E+00   1.00E+00   8.00E-12       0.00   18000.00     150.00   5
 251  CH2         HCO                     CO          CH3                                      6.8756E-25   1.00E+00   3.00E-11       0.00       0.00       1.00   5
 252  CH2         NO                      HCN         OH                                       8.3653E-26   1.00E+00   3.65E-12       0.00       0.00      30.00   5
 253  CH2         NO                      H2CO        N                                        6.1662-102   1.00E+00   2.70E-12       0.00    3500.00      11.60   5
 254  CH2         H2CO                    HCO         CH3                                      7.4397E-98   1.00E+00   3.30E-13       0.00    3270.00      10.90   5
 255  CH2         HNO                     NO          CH3                                      3.8962E-25   1.00E+00   1.70E-11       0.00       0.00       1.00   5
 256  CH2         O2                      CO2         H           H                            2.9460E-52   1.00E+00   3.65E-11      -3.30    1443.00     100.00   5
